"","x"
"ABCE1",4
"ADCY3",4
"AGO2",4
"AK6",4
"AKT1",4
"ALDOA",4
"ANAPC11",4
"ANKRD42",4
"BAG3",4
"BATF",4
"BCL3",4
"BCL6",4
"BLMH",4
"BRCC3",4
"BRIX1",4
"BUB3",4
"BUD31",4
"CASP10",4
"CASP2",4
"CASP9",4
"CAT",4
"CCAR1",4
"CCDC174",4
"CCNB1",4
"CCT7",4
"CD2AP",4
"CD40",4
"CDC26",4
"CDC42",4
"CDK5RAP3",4
"CHTOP",4
"CLNS1A",4
"CNOT11",4
"COA6",4
"COX5B",4
"CPSF2",4
"CPSF3",4
"CPSF6",4
"CRNKL1",4
"CSTF3",4
"CTBP1",4
"CTBP2",4
"CTPS1",4
"DAP",4
"DAXX",4
"DCTN1",4
"DCTN3",4
"DCTN5",4
"DCTN6",4
"DDX20",4
"DDX56",4
"DDX6",4
"DECR1",4
"DKC1",4
"DNAJA4",4
"DNAJB12",4
"DNAJB6",4
"DNAJB9",4
"DNAJC3",4
"DNMT3A",4
"DYNC1I2",4
"DYNLL1",4
"ECHS1",4
"EEF2",4
"EGLN2",4
"EIF3D",4
"EIF3G",4
"EIF4A2",4
"EIF4EBP1",4
"EIF4EBP2",4
"EIF4G1",4
"ENO3",4
"ERLEC1",4
"ETF1",4
"EZH2",4
"FASLG",4
"FER",4
"FHIT",4
"FLI1",4
"FUS",4
"GATC",4
"GCH1",4
"GNL2",4
"GRB2",4
"GRWD1",4
"GTF2A1",4
"GTPBP4",4
"HCK",4
"HDAC1",4
"HES1",4
"HEXIM1",4
"HK2",4
"HNRNPH1",4
"HNRNPM",4
"HNRNPR",4
"HSPA5",4
"IRF1",4
"ISG15",4
"ITGB2",4
"ITPA",4
"JAK3",4
"JUNB",4
"KLF4",4
"KRR1",4
"LAMB1",4
"LCK",4
"LRPPRC",4
"LSM2",4
"LSM3",4
"LYN",4
"MAF",4
"MAPK8",4
"MATR3",4
"MAX",4
"MCL1",4
"MOB4",4
"MRPL1",4
"MRPL24",4
"MRPL4",4
"MRPS16",4
"MRPS5",4
"MRPS7",4
"MRPS9",4
"MSI2",4
"NCOR1",4
"NDUFA11",4
"NDUFA12",4
"NDUFA5",4
"NDUFA6",4
"NDUFB1",4
"NDUFC1",4
"NDUFC2-KCTD14",4
"NDUFS7",4
"NDUFV1",4
"NOP10",4
"NOP58",4
"NSF",4
"NSMCE2",4
"NUP107",4
"NUP153",4
"NUP188",4
"NUP50",4
"NUP62",4
"OS9",4
"PAIP1",4
"PAPOLA",4
"PCNA",4
"PDIA3",4
"PFKFB3",4
"PFKP",4
"PHC1",4
"PHC3",4
"PIAS1",4
"PIAS2",4
"PIM1",4
"PKM",4
"POLR1D",4
"POLR2F",4
"POLR2I",4
"POLR2K",4
"POLR2L",4
"PPP2R2D",4
"PPP3CB",4
"PRMT1",4
"PRPF3",4
"PRPF4",4
"PSMB3",4
"PSMB7",4
"PSMD12",4
"PSMD14",4
"PSMD4",4
"PSMD6",4
"PTBP1",4
"PTPN2",4
"PTTG1",4
"RAD52",4
"RAF1",4
"RBM28",4
"RBM5",4
"RHOA",4
"RNF2",4
"RNF7",4
"RNPS1",4
"RORA",4
"RPA1",4
"RPF1",4
"RPL18A",4
"RPL36AL",4
"RPL7L1",4
"RPN2",4
"RPS10-NUDT3",4
"RPS11",4
"RSRC1",4
"SAP18",4
"SARNP",4
"SART1",4
"SCP2",4
"SDHD",4
"SEC11A",4
"SEM1",4
"SENP7",4
"SF3A3",4
"SF3B1",4
"SKIL",4
"SKP1",4
"SLC25A5",4
"SLC2A3",4
"SMAD3",4
"SNRPG",4
"SNRPN",4
"SNU13",4
"SOCS3",4
"SP1",4
"SRP19",4
"SRP68",4
"SRP9",4
"SRRM1",4
"SRSF1",4
"SRSF11",4
"SRSF3",4
"SRSF5",4
"SRSF9",4
"SSRP1",4
"SYNE1",4
"TAF4B",4
"TBC1D22A",4
"TBL1XR1",4
"TBP",4
"TCERG1",4
"TERF1",4
"THRAP3",4
"TIFA",4
"TNF",4
"TNKS",4
"TRIM33",4
"TRMT6",4
"TSC2",4
"TTC1",4
"TUBA4A",4
"TUBB6",4
"TXN2",4
"UBC",4
"UBE2C",4
"UBE2V2",4
"UPF1",4
"UQCRFS1P1",4
"UQCRHL",4
"URI1",4
"USP3",4
"USP33",4
"VHL",4
"VMP1",4
"VPS39",4
"WDFY1",4
"ZCCHC8",4
"ZFR",4
"ZMIZ1",4
"ZNRD1",4
