"","stage1","stage2","stage3","stage4"
"RBM5",-0.0196810917627258,1.05292448165229,-1.34038341388693,0.307140023997371
"CCAR1",-0.719172427205222,0.584715787253839,-0.965210340204748,1.09966698015613
"SAR1A",-0.161289859142494,1.01214901664665,-1.31637270165182,0.465513544147661
"PEBP1",-0.81571428548764,0.629992762334232,-0.887055837368498,1.07277736052191
"NOP56",-0.931140626545544,0.605989462176657,-0.762868166911631,1.08801933128052
"SF3B1",-0.84263169336123,0.608595516929861,-0.855657823940248,1.08969400037162
"HSPE1",-1.08061665432067,0.838485776520253,-0.620519204948971,0.862650082749388
"SET",-0.247305297511212,0.669909047464241,-1.30692156109284,0.884317811139809
"PCMT1",-0.360425914260087,0.827991155220723,-1.25241287232069,0.784847631360051
"THOC2",-0.971348123512377,0.341402056764491,-0.618169891123798,1.24811595787168
"SNRPB",-0.919419052015669,1.16807712926022,-0.740506369915925,0.491848292671373
"SNRPN",0.152812830734841,0.924065152637988,-1.41676658914262,0.339888605769788
"RAN",0.353531704970002,-1.2188213781263,-0.279789957830383,1.14507963098668
"NXT1",-0.413486558759747,0.251171337648022,-1.09203647171843,1.25435169283016
"DHX9",-0.676512117771636,1.48750808994257,-0.425420378321241,-0.385575593849696
"SMARCA5",-0.544326006307668,1.099667784238,-1.09627876762528,0.540936989694951
"BUB3",0.388281497894527,0.820054018638749,-1.45467099889813,0.246335482364858
"RPS9",-1.46608713870817,0.498127149556707,0.225151311572891,0.742808677578568
"TRMT10C",-0.0439082856262686,0.281486029291828,-1.3209985219405,1.08342077827494
"UBE2N",-0.0417964838253536,0.494516552926334,-1.37771330404216,0.924993234941175
"KPNA2",-0.584084945636874,1.20265731875243,-1.02382948809404,0.405257114978487
